effect,component,group,term,estimate,std.error,statistic,p.value,model
fixed,cond,NA,hsz.std,-0.048487663575301834,0.08476513845853484,-0.5720236462425043,0.5673059550349093,TCDS_turntaking_log_gaus
fixed,cond,NA,nsk.std,-0.051481219098316267,0.08935753674550108,-0.5761262113227199,0.5645298758344569,TCDS_turntaking_log_gaus
fixed,cond,NA,tchiyr.std:stthr.trimorning,0.7477675940721777,0.25932249897917353,2.883543067091266,0.0039322887302142345,TCDS_turntaking_log_gaus
fixed,cond,NA,tchiyr.std:stthr.triafternoon,0.8139817517780221,0.25905633750204266,3.1421032182685122,0.0016773889154881065,TCDS_turntaking_log_gaus
fixed,cond,NA,tchiyr.std:nsk.std,-0.17793816264494655,0.12011075941672557,-1.481450650291771,0.13848652616289686,TCDS_turntaking_log_gaus
ran_pars,cond,aclew_child_id,sd__(Intercept),0.08757976864435085,NA,NA,NA,TCDS_turntaking_log_gaus
ran_pars,cond,Residual,sd__Observation,0.531938682021855,NA,NA,NA,TCDS_turntaking_log_gaus
fixed,cond,NA,(Intercept),2.6841005136463236,0.1307106105370357,20.53467964550443,1.0550788147001737e-93,TCDS_turntaking_log_gaus.v2
fixed,cond,NA,tchiyr.std,-0.02985218026150447,0.15694006719576709,-0.1902138873450771,0.8491415292593272,TCDS_turntaking_log_gaus.v2
fixed,cond,NA,stthr.tri.amidday,-0.35976042803279173,0.26499991687257285,-1.3575869467377424,0.17459478720520719,TCDS_turntaking_log_gaus.v2
fixed,cond,NA,stthr.tri.amorning,-0.15014863864636754,0.2064618994255914,-0.7272462331505427,0.467075128745259,TCDS_turntaking_log_gaus.v2
fixed,cond,NA,hsz.std,-0.048487362954554226,0.0847649496488877,-0.5720213738744371,0.567307494486527,TCDS_turntaking_log_gaus.v2
fixed,cond,NA,nsk.std,-0.05148140891347115,0.08935741888980672,-0.576129095413518,0.5645279265608123,TCDS_turntaking_log_gaus.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amidday,-0.8139805825542109,0.25905602367509634,-3.1421025112895715,0.001677392965842248,TCDS_turntaking_log_gaus.v2
fixed,cond,NA,tchiyr.std:stthr.tri.amorning,-0.06621542839771334,0.2026621625940686,-0.3267281250242185,0.7438735260016511,TCDS_turntaking_log_gaus.v2
fixed,cond,NA,tchiyr.std:nsk.std,-0.17793731051556094,0.12011059989196608,-1.481445523339383,0.13848789146515222,TCDS_turntaking_log_gaus.v2
